user_id,product_id,rating,rating_count
AG3D6O4STAQKAY2UVGEUV46KN35Q,B07JW9H4J1,4.2,24269.0
AHMY5CWJMMK5BJRBBSNLYT3ONILA,B07JW9H4J1,4.2,24269.0
AHCTC6ULH4XB6YHDY6PCH2R772LQ,B07JW9H4J1,4.2,24269.0
AGYHHIERNXKA6P5T7CZLXKVPT7IQ,B07JW9H4J1,4.2,24269.0
AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,B07JW9H4J1,4.2,24269.0
AENGU523SXMOS7JPDTW52PNNVWGQ,B07JW9H4J1,4.2,24269.0
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B07JW9H4J1,4.2,24269.0
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B07JW9H4J1,4.2,24269.0
AECPFYFQVRUWC3KGNLJIOREFP5LQ,B098NS6PVG,4.0,43994.0
AGYYVPDD7YG7FYNBXNGXZJT525AQ,B098NS6PVG,4.0,43994.0
AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,B098NS6PVG,4.0,43994.0
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,B098NS6PVG,4.0,43994.0
AEZ346GX3HJ4O4XNRPHCNHXQURMQ,B098NS6PVG,4.0,43994.0
AEPSWFPNECKO34PUC7I56ITGXR6Q,B098NS6PVG,4.0,43994.0
AHWVEHR5DYLVFTO2KF3IZATFQSWQ,B098NS6PVG,4.0,43994.0
AH4QT33M55677I7ISQOAKEQWACYQ,B098NS6PVG,4.0,43994.0
AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,B096MSW6CT,3.9,7928.0
AESFLDV2PT363T2AQLWQOWZ4N3OA,B096MSW6CT,3.9,7928.0
AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,B096MSW6CT,3.9,7928.0
AEUVWXYP5LT7PZLLZENEO2NODPBQ,B096MSW6CT,3.9,7928.0
AHC7MPW55DOO6WNCOQVA2VHOD26A,B096MSW6CT,3.9,7928.0
AFDI6FRPFBTNBG7BAEB7JDJSMKDQ,B096MSW6CT,3.9,7928.0
AFQKCEEEKXCOHTDG4WUN3XPPHJQQ,B096MSW6CT,3.9,7928.0
AHKUUFNMBZIDLSSPA4FEHIO2EC7Q,B096MSW6CT,3.9,7928.0
AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,B08HDJ86NZ,4.2,94363.0
AG5HTSFRRE6NL3M5SGCUQBP7YSCA,B08HDJ86NZ,4.2,94363.0
AH725ST5NW2Y4JZPKUNTIJCUK2BA,B08HDJ86NZ,4.2,94363.0
AHV3TXIFCJPMS4D5JATCEUR266MQ,B08HDJ86NZ,4.2,94363.0
AGWIGDEMFIIUAOXYY2QATNBSUGHA,B08HDJ86NZ,4.2,94363.0
AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,B08HDJ86NZ,4.2,94363.0
AGAKDNBHY2FKX7I4ACRGILU7QL7A,B08HDJ86NZ,4.2,94363.0
AFNWJUWJRHCC6HN52KMG5AKZY37Q,B08HDJ86NZ,4.2,94363.0
AE3Q6KSUK5P75D5HFYHCRAOLODSA,B08CF3B7N1,4.2,16905.0
AFUGIFH5ZAFXRDSZHM4QB2KPKFUQ,B08CF3B7N1,4.2,16905.0
AFK4NJOLFSJGWLOJIUIAROJF6YVA,B08CF3B7N1,4.2,16905.0
AFUOTYRFUXVPEBGIXVZZ7DR3CZUA,B08CF3B7N1,4.2,16905.0
AFDLRSXKDZ6U3U3KD46SQLFGZQRA,B08CF3B7N1,4.2,16905.0
AH5VLM66SIK7J3IRG4NY7XVOQ55A,B08CF3B7N1,4.2,16905.0
AE3MQNNHHLUHXURL5S7IAR7JTGNQ,B08CF3B7N1,4.2,16905.0
AFSEOFZY67MYC7UAJU264Z5NFTLA,B08CF3B7N1,4.2,16905.0
AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,B08Y1TFSP6,3.9,24871.0
AGRVINWECNY7323CWFXZYYIZOFTQ,B08Y1TFSP6,3.9,24871.0
